Task_name,gradient1,gradient2,gradient3,gradient4,gradient5,Id_number
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject164
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject164
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject164
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject164
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject164
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject164
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject164
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject164
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject164
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject164
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject164
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject164
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject164
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject164
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject164
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject164
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject164
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject164
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject164
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject164
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject166
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject166
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject166
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject166
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject166
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject166
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject166
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject166
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject166
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject166
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject166
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject166
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject166
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject166
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject166
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject166
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject166
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject166
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject166
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject166
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject166
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject166
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject166
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject166
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject166
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject166
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject166
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject166
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject166
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject166
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject166
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject166
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject166
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject166
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject166
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject166
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject166
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject166
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject169
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject169
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject169
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject169
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject169
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject169
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject169
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject169
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject169
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject169
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject169
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject169
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject169
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject169
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject169
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject169
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject169
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject169
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject169
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject169
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject169
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject169
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject169
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject169
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject169
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject169
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject169
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject169
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject169
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject169
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject169
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject169
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject169
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject169
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject169
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject169
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject169
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject169
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject170
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject170
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject170
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject170
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject170
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject170
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject170
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject170
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject170
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject170
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject170
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject170
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject170
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject170
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject170
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject170
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject170
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject170
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject170
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject170
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject170
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject170
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject170
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject170
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject170
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject170
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject170
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject170
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject170
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject170
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject170
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject170
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject170
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject170
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject170
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject170
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject170
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject170
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject171
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject171
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject171
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject171
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject171
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject171
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject171
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject171
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject171
